gene_name,gene_synonym
AC009365.1,nan
AC004771.2,nan
VMP1,EPG3|TANGO5|TMEM49
C20orf194,DKFZp434N061
COA7,FLJ12439|RESA1|SELRC1|C1orf163
AC093524.1,nan
AC009487.3,nan
FOXS1,FKHL18|FREAC10
AC025771.1,nan
DUSP7,MKP-X|PYST2
ZNF891,nan
BNIP3P25,nan
C1orf100,nan
AC092106.1,nan
AC018737.1,nan
AC010186.2,nan
IL27,MGC71873|IL-27A|IL27p28|IL27A|IL30|p28|IL-27
AC008667.1,nan
ASMTL-AS1,NCRNA00105|CXYorf2|FLJ13330|ASMTLAS|ASMTL-AS
LINC00052,TMEM83|NCRNA00052|FLJ31461
RNU1-51P,nan
LAMC3,DKFZp434E202
DUX4L1,DUX4
AC006063.3,nan
NSMCE1,NSE1
FAM160A2,FLJ22665|C11orf56|KIAA1759|DKFZP566M1046|FHIP
AC004134.1,nan
PRAME,MAPE|CT130
DGKK,nan
MIR299,MIRN299|hsa-mir-299
PRR32,CXorf64
AC119751.3,nan
PTGES3P1,nan
SLC9C1,NHE|SLC9A10
AL138701.1,nan
AC104370.1,nan
FTH1P5,FTHL5|FTHP1
AP005902.3,nan
EIF4A1P1,EIF4A1P
SPATA12,nan
AC270170.1,nan
AC092017.4,nan
AL139404.1,nan
AC090617.3,nan
CR450722.1,nan
PPP1R9A,Neurabin-I|FLJ20068|KIAA1222
AC007922.3,nan
RRAGA,RAGA|FIP-1
AL359976.1,nan
HNRNPA1P35,nan
RNU6-537P,nan
AC245100.7,nan
MIP,AQP0|MP26|LIM1
AC068134.3,nan
AP003065.2,nan
AL450307.1,nan
PPP2R3B,PPP2R3L|PR70|PR48|PPP2R3LY
SP2-AS1,nan
RN7SL91P,nan
AC106794.2,nan
RNU1-72P,nan
SLC35A1,CMPST|hCST
CPNE4,COPN4|CPN4
DDX1,DBP-RB
WASH5P,nan
NPY5R,NPYR5
C11orf24,DM4E3
XYLB,FLJ12539|FLJ10343
MIR625,MIRN625|hsa-mir-625
AC048351.2,nan
RNA5SP404,RN5S404
BX470102.1,nan
AL024509.3,nan
AC207130.1,nan
SLC22A17,BOIT|NGALR|BOCT
HABP2,HABP|PHBP|FSAP|HGFAL
H2AZ2P1,H2AFVP|H2AFVP1|HsT19970
AC256230.1,nan
DEFB107B,HsT21816
DAZ1,DAZ|SPGY
MYO15B,MYO15BP
AL807761.4,nan
MED27,TRAP37|CRSP8|MED3|CRSP34
SLC6A8,CRTR|CT1
CAP2,nan
CYP11B1,P450C11|CPN1|CYP11B|FHI
AC133065.2,nan
RNU6-290P,nan
RPL34P6,nan
E2F6P2,nan
RPS4XP20,RPS4P20
AL034399.2,nan
PLA2G4C,cPLA2-gamma
FO393412.1,nan
SNORA63D,nan
TENM4,KIAA1302|Ten-M4|TEN4|ODZ4
SRIP1,SRIL
AC105942.1,nan
FP671120.6,nan
RASSF8,C12orf2|HoJ-1
UQCRC1,D3S3191|QCR1|UQCR1
RASA4CP,nan
AL139349.1,nan
CHMP1A,PRSM1|PCOLN3|Vps46A|CHMP1|KIAA0047
SLC30A9,HUEL|GAC63|C4orf1|ZNT9
AC010928.2,nan
RPS17P15,nan
AC093673.1,nan
RNA5SP170,RN5S170
SPIN2B,TDRD26|SPIN-2
KDM5D,HY|KIAA0234|HYA|JARID1D|SMCY
P2RY11,P2Y11
AC016542.2,nan
AC107982.2,nan
SETP22,nan
AC022417.1,nan
EPB42,PA|MGC116735|MGC116737
IGKV1-27,A20|IGKV127
AC068299.1,nan
EMC3-AS1,nan
IGHV3-76,nan
AL160271.1,nan
RNU6-1022P,nan
UBQLN1P1,UBQLN1P
EPC1,Epl1
CR753845.1,nan
PFN1P2,C1orf152|COAS3
ZFP82,ZNF545|KIAA1948|MGC45380
MIR4801,hsa-mir-4801
APOBEC3H,ARP10
AL133166.1,nan
IQANK1,nan
HMGB3P26,nan
AC068137.1,nan
AC007652.3,nan
RPL15P4,Em:AC006046.2
LINC02330,nan
AC113382.2,nan
ARHGAP33,SNX26|FLJ39019|TCGAP
AL583834.1,nan
AL591684.2,nan
RNU6-561P,nan
LINC00430,TCONS_00021581
CD53,MOX44|TSPAN25
GSN-AS1,MOST2|C9orf31
RNU6-1179P,nan
IGHV1-68,nan
